"","geo_entity_name","indicator_data_id","indicator_id","name","Measure","geo_type_name","geo_entity_id","year_description","data_valuemessage","lon","lat"
"33","Bayside - Little Neck",151462,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2009-2011","27.5",-73.7726968,40.7662472
"34","Bayside - Little Neck",130386,639,"PM2.5-Attributable Deaths ","Rate - Adults 30 Yrs and Older","UHF42",404,"2005-2007","48.9",-73.7726968,40.7662472
"35","Bayside - Little Neck",130818,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2005-2007","26.7",-73.7726968,40.7662472
"36","Bayside - Little Neck",131538,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",404,"2009-2011","10.2",-73.7726968,40.7662472
"37","Bayside - Little Neck",130524,642,"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",404,"2013","10.4",-73.7726968,40.7662472
"38","Bayside - Little Neck",131298,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",404,"2005-2007","7.5",-73.7726968,40.7662472
"39","Bayside - Little Neck",130962,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",404,"2005-2007","18.3",-73.7726968,40.7662472
"40","Bayside - Little Neck",151558,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2009-2011","8.5",-73.7726968,40.7662472
"41","Bayside - Little Neck",131250,657,"PM2.5-Attributable Asthma ED Visits ","Rate- 18 Yrs and Older","UHF42",404,"2005-2007","8.5",-73.7726968,40.7662472
"42","Bayside - Little Neck",131154,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2005-2007","7.5",-73.7726968,40.7662472
"43","Bayside - Little Neck",131442,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2009-2011","22.1",-73.7726968,40.7662472
"44","Bayside - Little Neck",131058,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2005-2007","23.4",-73.7726968,40.7662472
"45","Bayside - Little Neck",151606,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",404,"2009-2011","2.2",-73.7726968,40.7662472
"46","Bayside - Little Neck",131394,657,"PM2.5-Attributable Asthma ED Visits ","Rate- 18 Yrs and Older","UHF42",404,"2009-2011","6.7",-73.7726968,40.7662472
"47","Bayside - Little Neck",131538,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",404,"2009-2011","10.2",-73.7726968,40.7662472
"48","Bayside - Little Neck",130764,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",404,"2005","2.5",-73.7726968,40.7662472
"49","Bayside - Little Neck",131394,657,"PM2.5-Attributable Asthma ED Visits ","Rate- 18 Yrs and Older","UHF42",404,"2009-2011","6.7",-73.7726968,40.7662472
"50","Bayside - Little Neck",151414,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",404,"2009-2011","4.5",-73.7726968,40.7662472
"51","Bayside - Little Neck",130914,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",404,"2005-2007","15.1",-73.7726968,40.7662472
"52","Bayside - Little Neck",131298,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",404,"2005-2007","7.5",-73.7726968,40.7662472
"53","Bayside - Little Neck",151558,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2009-2011","8.5",-73.7726968,40.7662472
"54","Bayside - Little Neck",130716,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",404,"2005","1.9",-73.7726968,40.7662472
"55","Bayside - Little Neck",131154,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2005-2007","7.5",-73.7726968,40.7662472
"56","Bayside - Little Neck",151414,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",404,"2009-2011","4.5",-73.7726968,40.7662472
"57","Bayside - Little Neck",131010,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",404,"2005-2007","4.8",-73.7726968,40.7662472
"58","Bayside - Little Neck",131250,657,"PM2.5-Attributable Asthma ED Visits ","Rate- 18 Yrs and Older","UHF42",404,"2005-2007","8.5",-73.7726968,40.7662472
"59","Bayside - Little Neck",151654,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","UHF42",404,"2005","33.8",-73.7726968,40.7662472
"60","Bayside - Little Neck",131586,639,"PM2.5-Attributable Deaths ","Rate - Adults 30 Yrs and Older","UHF42",404,"2009-2011","34.5",-73.7726968,40.7662472
"61","Bayside - Little Neck",131442,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2009-2011","22.1",-73.7726968,40.7662472
"62","Bayside - Little Neck",131682,663,"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",404,"Annual Average 2009-2010","1",-73.7726968,40.7662472
"63","Bayside - Little Neck",131586,639,"PM2.5-Attributable Deaths ","Rate - Adults 30 Yrs and Older","UHF42",404,"2009-2011","34.5",-73.7726968,40.7662472
"64","Bayside - Little Neck",131346,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",404,"2005-2007","1.8",-73.7726968,40.7662472
"65","Bayside - Little Neck",131634,662,"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",404,"Annual Average 2009-2010","9.3",-73.7726968,40.7662472
"66","Bayside - Little Neck",131010,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",404,"2005-2007","4.8",-73.7726968,40.7662472
"67","Bedford Park",154460,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","CD",207," Norwood"," Fordham",-87.7812524,41.7641723
"68","Bedford Park",154578,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","CD",207," Norwood"," Fordham",-87.7812524,41.7641723
"69","Bedford Park",154519,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","CD",207," Norwood"," Fordham",-87.7812524,41.7641723
"70","Bedford Stuyvesant",154468,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","CD",303,"2005","0.9",-73.9417735,40.6872176
"71","Bedford Stuyvesant",154586,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","CD",303,"2005","26",-73.9417735,40.6872176
"72","Bedford Stuyvesant",154527,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","CD",303,"2005","24.9",-73.9417735,40.6872176
"73","Bedford Stuyvesant - Crown Heights",131036,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2005-2007","155.7",-73.9503788,40.6684137
"74","Bedford Stuyvesant - Crown Heights",130694,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",203,"2005","2.5",-73.9503788,40.6684137
"75","Bedford Stuyvesant - Crown Heights",151632,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","UHF42",203,"2005","33.8",-73.9503788,40.6684137
"76","Bedford Stuyvesant - Crown Heights",151488,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",203,"2009-2011","105.4",-73.9503788,40.6684137
"77","Bedford Stuyvesant - Crown Heights",130940,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",203,"2005-2007","34.3",-73.9503788,40.6684137
"78","Bedford Stuyvesant - Crown Heights",151440,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2009-2011","191.4",-73.9503788,40.6684137
"79","Bedford Stuyvesant - Crown Heights",134788,667,"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",203,"2-Year Winter Average 2009-2010","4.1",-73.9503788,40.6684137
"80","Bedford Stuyvesant - Crown Heights",151488,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",203,"2009-2011","105.4",-73.9503788,40.6684137
"81","Bedford Stuyvesant - Crown Heights",131660,663,"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",203,"Annual Average 2009-2010","1.1",-73.9503788,40.6684137
"82","Bedford Stuyvesant - Crown Heights",131228,657,"PM2.5-Attributable Asthma ED Visits ","Rate- 18 Yrs and Older","UHF42",203,"2005-2007","114.4",-73.9503788,40.6684137
"83","Bedford Stuyvesant - Crown Heights",131132,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2005-2007","37.9",-73.9503788,40.6684137
"84","Bedford Stuyvesant - Crown Heights",131276,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",203,"2005-2007","98.5",-73.9503788,40.6684137
"85","Bedford Stuyvesant - Crown Heights",131132,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2005-2007","37.9",-73.9503788,40.6684137
"86","Bedford Stuyvesant - Crown Heights",151728,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","UHF42",203,"2005","1.1",-73.9503788,40.6684137
"87","Bedford Stuyvesant - Crown Heights",131420,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2009-2011","178.4",-73.9503788,40.6684137
"88","Bedford Stuyvesant - Crown Heights",131324,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",203,"2005-2007","15.1",-73.9503788,40.6684137
"89","Bedford Stuyvesant - Crown Heights",131468,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",203,"2009-2011","23.9",-73.9503788,40.6684137
"90","Bedford Stuyvesant - Crown Heights",151440,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2009-2011","191.4",-73.9503788,40.6684137
"91","Bedford Stuyvesant - Crown Heights",131612,662,"Neighborhood Air Quality Concentrations- Fine Particulate Matter (PM2.5)","Average Concentration","UHF42",203,"Annual Average 2009-2010","10.7",-73.9503788,40.6684137
"92","Bedford Stuyvesant - Crown Heights",131468,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",203,"2009-2011","23.9",-73.9503788,40.6684137
"93","Bedford Stuyvesant - Crown Heights",130454,641,"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",203,"2013","0.1",-73.9503788,40.6684137
"94","Bedford Stuyvesant - Crown Heights",131036,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2005-2007","155.7",-73.9503788,40.6684137
"95","Bedford Stuyvesant - Crown Heights",130988,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",203,"2005-2007","5.3",-73.9503788,40.6684137
"96","Bedford Stuyvesant - Crown Heights",130796,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2005-2007","195.4",-73.9503788,40.6684137
"97","Bedford Stuyvesant - Crown Heights",130742,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",203,"2005","3",-73.9503788,40.6684137
"98","Bedford Stuyvesant - Crown Heights",131708,664,"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",203,"Annual Average 2009-2010","29.8",-73.9503788,40.6684137
"99","Bedford Stuyvesant - Crown Heights",131372,657,"PM2.5-Attributable Asthma ED Visits ","Rate- 18 Yrs and Older","UHF42",203,"2009-2011","95.4",-73.9503788,40.6684137
"100","Bedford Stuyvesant - Crown Heights",131516,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",203,"2009-2011","16.3",-73.9503788,40.6684137
"101","Bedford Stuyvesant - Crown Heights",131372,657,"PM2.5-Attributable Asthma ED Visits ","Rate- 18 Yrs and Older","UHF42",203,"2009-2011","95.4",-73.9503788,40.6684137
"102","Bedford Stuyvesant - Crown Heights",130940,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",203,"2005-2007","34.3",-73.9503788,40.6684137
"103","Bedford Stuyvesant - Crown Heights",131420,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2009-2011","178.4",-73.9503788,40.6684137
"104","Bedford Stuyvesant - Crown Heights",131564,639,"PM2.5-Attributable Deaths ","Rate - Adults 30 Yrs and Older","UHF42",203,"2009-2011","55.9",-73.9503788,40.6684137
"105","Bedford Stuyvesant - Crown Heights",131756,665,"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",203,"Annual Average 2009-2010","26.3",-73.9503788,40.6684137
"106","Bedford Stuyvesant - Crown Heights",131276,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",203,"2005-2007","98.5",-73.9503788,40.6684137
"107","Bedford Stuyvesant - Crown Heights",151392,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",203,"2009-2011","4.8",-73.9503788,40.6684137
"108","Bedford Stuyvesant - Crown Heights",151584,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",203,"2009-2011","13.5",-73.9503788,40.6684137
"109","Bedford Stuyvesant - Crown Heights",130406,640,"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",203,"2013","0.9",-73.9503788,40.6684137
"110","Bedford Stuyvesant - Crown Heights",130796,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2005-2007","195.4",-73.9503788,40.6684137
"111","Bedford Stuyvesant - Crown Heights",131324,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",203,"2005-2007","15.1",-73.9503788,40.6684137
"112","Bedford Stuyvesant - Crown Heights",130364,639,"PM2.5-Attributable Deaths ","Rate - Adults 30 Yrs and Older","UHF42",203,"2005-2007","80",-73.9503788,40.6684137
"113","Bedford Stuyvesant - Crown Heights",151584,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",203,"2009-2011","13.5",-73.9503788,40.6684137
"114","Bedford Stuyvesant - Crown Heights",151536,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2009-2011","40.2",-73.9503788,40.6684137
"115","Bedford Stuyvesant - Crown Heights",130502,642,"Boiler Emissions- Total NOx Emissions","Per km2","UHF42",203,"2013","31.7",-73.9503788,40.6684137
"116","Bedford Stuyvesant - Crown Heights",130892,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",203,"2005-2007","24.2",-73.9503788,40.6684137
"117","Bedford Stuyvesant - Crown Heights",151680,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","UHF42",203,"2005","32.6",-73.9503788,40.6684137
"118","Bedford Stuyvesant - Crown Heights",131564,639,"PM2.5-Attributable Deaths ","Rate - Adults 30 Yrs and Older","UHF42",203,"2009-2011","55.9",-73.9503788,40.6684137
"119","Bedford Stuyvesant - Crown Heights",130892,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",203,"2005-2007","24.2",-73.9503788,40.6684137
"120","Bedford Stuyvesant - Crown Heights",130364,639,"PM2.5-Attributable Deaths ","Rate - Adults 30 Yrs and Older","UHF42",203,"2005-2007","80",-73.9503788,40.6684137
"121","Bedford Stuyvesant - Crown Heights",151536,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",203,"2009-2011","40.2",-73.9503788,40.6684137
"122","Bedford Stuyvesant - Crown Heights",131228,657,"PM2.5-Attributable Asthma ED Visits ","Rate- 18 Yrs and Older","UHF42",203,"2005-2007","114.4",-73.9503788,40.6684137
"123","Bedford Stuyvesant - Crown Heights",130988,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",203,"2005-2007","5.3",-73.9503788,40.6684137
"124","Bedford Stuyvesant - Crown Heights",151392,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",203,"2009-2011","4.8",-73.9503788,40.6684137
"125","Bedford Stuyvesant - Crown Heights",131804,666,"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",203,"Annual Average 2009-2010","26.4",-73.9503788,40.6684137
"126","Bedford Stuyvesant - Crown Heights",131516,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",203,"2009-2011","16.3",-73.9503788,40.6684137
"127","Bensonhurst",154594,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","CD",311," Bath Beach","2005",-73.9976946,40.6112691
"128","Bensonhurst",154476,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","CD",311," Bath Beach","2005",-73.9976946,40.6112691
"129","Bensonhurst",154535,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","CD",311," Bath Beach","2005",-73.9976946,40.6112691
"130","Bensonhurst - Bay Ridge",151638,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","UHF42",209,"2005","23.1",-74.003974,40.6055541
"131","Bensonhurst - Bay Ridge",131042,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",209,"2005-2007","16.9",-74.003974,40.6055541
"132","Bensonhurst - Bay Ridge",131666,663,"Neighborhood Air Quality Concentrations- Elemental Carbon (EC)","Average Concentration","UHF42",209,"Annual Average 2009-2010","1",-74.003974,40.6055541
"133","Bensonhurst - Bay Ridge",151398,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",209,"2009-2011","7.2",-74.003974,40.6055541
"134","Bensonhurst - Bay Ridge",130748,647,"Air Toxics Concentrations- Average Formaldehyde Concentrations","Average Concentration","UHF42",209,"2005","2.7",-74.003974,40.6055541
"135","Bensonhurst - Bay Ridge",130994,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",209,"2005-2007","8.1",-74.003974,40.6055541
"136","Bensonhurst - Bay Ridge",131042,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",209,"2005-2007","16.9",-74.003974,40.6055541
"137","Bensonhurst - Bay Ridge",131474,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",209,"2009-2011","16.5",-74.003974,40.6055541
"138","Bensonhurst - Bay Ridge",130700,646,"Air Toxics Concentrations- Average Benzene Concentrations","Average Concentration","UHF42",209,"2005","2.8",-74.003974,40.6055541
"139","Bensonhurst - Bay Ridge",130898,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",209,"2005-2007","16.6",-74.003974,40.6055541
"140","Bensonhurst - Bay Ridge",151542,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",209,"2009-2011","5",-74.003974,40.6055541
"141","Bensonhurst - Bay Ridge",131714,664,"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",209,"Annual Average 2009-2010","20.6",-74.003974,40.6055541
"142","Bensonhurst - Bay Ridge",131282,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",209,"2005-2007","12.9",-74.003974,40.6055541
"143","Bensonhurst - Bay Ridge",151446,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",209,"2009-2011","24.9",-74.003974,40.6055541
"144","Bensonhurst - Bay Ridge",130802,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",209,"2005-2007","19.7",-74.003974,40.6055541
"145","Bensonhurst - Bay Ridge",130802,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",209,"2005-2007","19.7",-74.003974,40.6055541
"146","Bensonhurst - Bay Ridge",151542,655,"O3-Attributable Asthma Hospitalizations ","Rate- Children 0 to 17 Yrs Old","UHF42",209,"2009-2011","5",-74.003974,40.6055541
"147","Bensonhurst - Bay Ridge",151590,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",209,"2009-2011","2.9",-74.003974,40.6055541
"148","Bensonhurst - Bay Ridge",131426,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",209,"2009-2011","20.7",-74.003974,40.6055541
"149","Bensonhurst - Bay Ridge",151398,652,"O3-Attributable Cardiac and Respiratory Deaths ","Rate","UHF42",209,"2009-2011","7.2",-74.003974,40.6055541
"150","Bensonhurst - Bay Ridge",131762,665,"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",209,"Annual Average 2009-2010","23.3",-74.003974,40.6055541
